tau,q1,q2,resource,meter,p1,p2,p_resource,p_meter,dissipated_energy,gross_transfer,integrated_tracking_residual,total_energy,local_pair_energy,asymmetry,meter_interface_energy,resource_to_pair_power,meter_to_pair_power,q_plus,p_plus,common_mode_energy
86.6,0.07957807545,-0.04703016419,0.1302633694,0.002821284691,0.2729881146,0.3413211212,-0.2619734601,0.1305074036,0.4665749031,2.048895413,9.287406023,0.158425097,0.106195421,0.02069904614,0.0005891604927,0.003459120711,-0.004190738318,0.02301484876,0.4343822264,0.09460880092
86.7,0.1058845504,-0.01224142864,0.1034244557,0.01589135286,0.2525537364,0.3537584767,-0.2741348826,0.1307200894,0.4668695327,2.049495436,9.288105497,0.1581304673,0.1057264188,0.02419614638,0.0008098775597,-0.0001553265246,-0.004545623656,0.06621568639,0.4287274774,0.09409588349
86.8,0.1299804279,0.02357636761,0.07557173277,0.02892990371,0.2288690397,0.3618426841,-0.2822380738,0.1298710223,0.4671627308,2.050125759,9.2890226,0.1578372692,0.1049096907,0.02900381415,0.001021120844,-0.003113116451,-0.004625467286,0.1085810514,0.4176962657,0.09313000754
86.9,0.1515692238,0.05997094665,0.0471135169,0.04182906555,0.2025113116,0.3652441536,-0.2862429182,0.1279274657,0.4674489047,2.051008295,9.290138343,0.1575510953,0.1038480313,0.03487222224,0.001204290232,-0.005288365549,-0.004444724674,0.149581489,0.4014637395,0.09177387799
87,0.1704138202,0.0964601441,0.01845923191,0.05447807556,0.1740879584,0.3636964243,-0.2861671517,0.1248645836,0.4677226859,2.052036374,9.29141668,0.1572773141,0.1026512264,0.04142051657,0.001344109689,-0.006613366011,-0.004036603418,0.1887083899,0.3802709838,0.09010843878
87.1,0.1863386846,0.132538709,-0.009986294186,0.06676414407,0.1442206282,0.3570057273,-0.2820845969,0.1206669147,0.4679791334,2.053103575,9.292808463,0.1570208666,0.1014284218,0.04817193581,0.001429807074,-0.00707852794,-0.003449023069,0.2254803674,0.3544205549,0.08822766289
87.2,0.1992305041,0.1676860022,-0.03782831881,0.07857346218,0.1135294875,0.3450593465,-0.2741226658,0.1153297571,0.4682139321,2.054110587,9.294256336,0.1567860679,0.1002811653,0.05460113123,0.001455812177,-0.006728291666,-0.002739626425,0.2594491497,0.3242712743,0.08623286029
87.3,0.2090372743,0.2013744592,-0.06468739079,0.08979234146,0.08261808091,0.3278325035,-0.2624591961,0.1088604153,0.4684235805,2.054970976,9.29570007,0.1565764196,0.09929756375,0.0601888318,0.0014219354,-0.005653651631,-0.001970357501,0.2902049198,0.2902323916,0.0842268683
87.4,0.2157659191,0.2330786577,-0.09020421005,0.1003084695,0.05205917805,0.3053935247,-0.2473187028,0.1012792664,0.4686055632,2.055615507,9.29708182,0.1563944369,0.09854787008,0.06447802211,0.001333042266,-0.003982138357,-0.001202123985,0.3173810439,0.2527572301,0.08230847218
87.5,0.2194785609,0.2622848067,-0.1140440865,0.1100122615,0.02238197656,0.2779070845,-0.228968124,0.09262060369,0.4687584994,2.055994883,9.298350832,0.1562415007,0.09808167939,0.06712545545,0.001198287072,-0.001866224019,-0.0004900144299,0.3406581442,0.2123364314,0.08056736565
87.6,0.2202875926,0.2885004578,-0.1359009519,0.1187982832,-0.005939013991,0.245635369,-0.2077121487,0.08293322454,0.4688822585,2.05609486,9.299467199,0.1561177415,0.09792677001,0.06794266515,0.001030007993,0.0005288521873,0.0001205492857,0.3597674807,0.169490918,0.07907990573
87.7,0.2183497327,0.3112642232,-0.1555008869,0.1265667195,-0.03249313821,0.2089370508,-0.1838882113,0.07228073302,0.4689780328,2.056309955,9.300404403,0.1560219672,0.09808949985,0.0669216387,0.0008424121528,0.003036894964,0.0005964636272,0.3744936197,0.1247646871,0.07790584916
87.8,0.2138592713,0.3301552799,-0.1726051351,0.1332248569,-0.05694060201,0.1682640233,-0.1578612388,0.06074153755,0.469048357,2.056814907,9.301150491,0.1559516431,0.09855655989,0.06424188489,0.0006501908791,0.005501378989,0.0009182744202,0.3846763782,0.0787175461,0.07708618402
87.9,0.2070407288,0.3448024354,-0.1870125819,0.1386885512,-0.07901717869,0.1241558995,-0.1300182342,0.04840853046,0.4690970655,2.05758246,9.301707885,0.1559029345,0.09929780751,0.0602575875,0.0004672020188,0.007784245216,0.001080199247,0.3902120436,0.03191789555,0.07664209551
88,0.1981411629,0.3548925335,-0.1985616878,0.142883646,-0.0985365416,0.07723233844,-0.1007627746,0.0353884452,0.4691291829,2.058572824,9.302091969,0.1558708171,0.1002698543,0.0554656914,0.0003053393169,0.009772431737,0.001088976922,0.3910538769,-0.01506434652,0.0765750346
88.1,0.1874223608,0.3601779891,-0.2071318701,0.1457473118,-0.1153902222,0.02818332167,-0.07050949989,0.02180089564,0.4691507424,2.059737543,9.302328669,0.1558492576,0.1014200669,0.05045786964,0.0001736809708,0.0113819251,0.0009617786327,0.3872119208,-0.06166459076,0.07686779667
88.2,0.1751531522,0.3604832555,-0.2126443353,0.1472292727,-0.1295452626,-0.02224244475,-0.03967865922,0.007777110185,0.4691685369,2.06102342,9.302451354,0.1558314632,0.1026906517,0.04586114189,7.797430475e-05,0.01255933184,0.0007234812613,0.3787521361,-0.1073301172,0.07748646735
